division,miles_from_MA_border_nb,miles_from_div_start_nb,location,elevation_ft,elevation_m,miles_from_div_start_sb
division0,-3.8,0.0,Mass. 2 in North Adams,660.0,201.0,3.8
division0,-2.4,1.4,"Pete’s Spring, Sherman Brook Primitive Campsite, 0.1 mi W via spur",1300.0,396.0,2.4
division0,-1.2,2.6,"Pine Cobble Trail to Pine Cobble Road, 0.1 mi W",2010.0,613.0,1.2
division0,-0.8,3.0,Eph’s Lookout,2254.0,687.0,0.8
division0,0.0,3.8,Southern terminus of Long Trail,2330.0,710.0,0.0
division1,0.0,0.0,"Massachusetts–Vermont state line, southern terminus of Long Trail",2330.0,710.0,14.3
division1,2.6,2.6,"Risky Ranch Road; Broad Brook Trail to White Oaks Road, 4.0 mi SW",2130.0,649.0,11.7
division1,3.1,3.1,County Road,2290.0,698.0,11.2
division1,5.5,5.5,Seth Warner Shelter,2710.0,826.0,8.8
division1,5.8,5.8,Roaring Branch,2470.0,753.0,8.5
division1,7.0,7.0,"Consultation Peak, NW summit",2810.0,857.0,7.3
division1,8.4,8.4,Sucker Pond Outlet Brook,2180.0,665.0,5.9
division1,10.0,10.0,Congdon Shelter,2080.0,634.0,4.3
division1,10.6,10.6,Old Stage Road,2220.0,677.0,3.7
division1,12.5,12.5,Harmon Hill,2325.0,709.0,1.8
division3,14.3,0.0,Vt. 9; William D. MacArthur Memorial bridge over City Stream,1360.0,415.0,22.6
division1,14.3,14.3,Vt. 9,1360.0,415.0,0.0
division3,15.0,0.7,Split Rock,1900.0,579.0,21.9
division3,15.9,1.6,"Melville Nauheim Shelter, 250 ft E via spur",2300.0,701.0,21.0
division3,16.4,2.1,Maple Hill,2690.0,820.0,20.5
division3,17.5,3.2,Hell Hollow Brook,2350.0,716.0,19.4
division3,18.7,4.4,Porcupine Lookout,2815.0,858.0,18.2
division3,22.9,8.6,"Glastenbury Wilderness, north boundary",2940.0,900.0,14.0
division3,24.4,10.1,"Goddard Shelter; West Ridge Trail, Woodford Hollow via Bald Mtn. Trail east branch, 9.7 mi S; to Branch Street in Bennington via Bald Mtn. Trail west branch, 11.3 mi S",3560.0,1085.0,12.5
division3,24.7,10.4,Glastenbury Mtn. fire tower,3748.0,1142.0,12.2
division3,28.0,13.7,Big Rock,3250.0,991.0,8.9
division3,28.5,14.2,"Kid Gore Shelter, 150 ft E via spur",2800.0,854.0,8.4
division3,29.4,15.1,Lydia’s Rest,3300.0,1006.0,7.5
division3,32.4,18.1,"South Alder Brook, crossing",2600.0,793.0,4.5
division3,33.3,19.0,Story Spring Shelter,2810.0,857.0,3.6
division3,34.9,20.6,"USFS Road 71 to Kelley Stand Road and Stratton Pond Trail, 0.75 mi N",2380.0,726.0,2.0
