access_inventory_id,overlay_id
vermont_long_trail:access:mass_2:-3.8,overlay_0000
vermont_long_trail:access:vt_9:14.3,overlay_0015
vermont_long_trail:access:vt_11_30:54.4,overlay_0043
vermont_long_trail:access:usfs_road_10:72.0,overlay_0061
vermont_long_trail:access:vt_140:80.5,overlay_0069
vermont_long_trail:access:vt_103:86.8,overlay_0077
vermont_long_trail:access:u_s_4:104.2,overlay_0090
vermont_long_trail:access:vt_73:124.1,overlay_0104
vermont_long_trail:access:vt_125:134.0,overlay_0115
vermont_long_trail:access:lincoln_gap:151.3,overlay_0132
vermont_long_trail:access:vt_17:162.9,overlay_0147
vermont_long_trail:access:duxbury_road:181.6,overlay_0167
vermont_long_trail:access:u_s_2:184.8,overlay_0169
vermont_long_trail:access:vt_108:208.2,overlay_0197
vermont_long_trail:access:vt_15:221.7,overlay_0213
vermont_long_trail:access:vt_242:260.8,overlay_0243
vermont_long_trail:access:canadian_border:272.1,overlay_0254
